source_id,source_org,source_document,source_date,domain,entry_type,original,original_normalized,yasashii,notes,retain_original,is_negative_example
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,車検証,車検証,車検(No.68)が終わった後にもらう紙。,No.69,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,就学援助,就学援助,学校で使う物や給食などにかかるお金をもらうこと。収入が少ない小学生や中学生の親がもらうことができます。,No.70,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,就業規則,就業規則,会社が決めた、働くときの細かいルール。,No.71,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,住民税,住民税,１月１日に日本に住所があって、働いている人が県や市、区などに払う税金(No.82)。,No.72,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,出産手当金,出産手当金,赤ちゃんを産むために会社を休み、給料がもらえないとき、健康保険(No.28)からもらうことができるお金。,No.73,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,出生届,出生届,赤ちゃんが生まれたときにまちの役所に出す紙。,No.74,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,出産育児一時金,出産育児一時金,赤ちゃんを産むとき、健康保険(No.28)などからもらうことができるお金。,No.75,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,障害基礎年金,障害基礎年金,体などに障害がある人が、国民年金(No.39)からもらうことができるお金。,No.76,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,障害厚生年金,障害厚生年金,体などに障害がある人が、厚生年金保険(No.35)からもらうことができるお金。,No.77,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,消費税,消費税,物を買ったときやサービスを受けたときに払う税金(No.82)。,No.78,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,所得税,所得税,収入（働いてもらった給料など）から国に払う税金(No.82)。,No.79,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,身体障害者手帳,身体障害者手帳,体に障害がある人が住んでいるまちの役所からもらう手帳。,No.80,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,生活困窮者自立支援制度,生活困窮者自立支援制度,生活に困っている人（お金がない、仕事がない、住むところがない）を住んでいるまちの役所が一緒に考えて助ける制度。,No.81,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,税金,税金,国や県、市、区などに払うお金。,No.82,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,整形外科,整形外科,骨、関節、筋肉などを治す病院。,No.83,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,精神障害者保健福祉手帳,精神障害者保健福祉手帳,心に障害があって、毎日の生活が難しい人が、住んでいるまちの役所からもらう手帳。,No.84,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,租税条約,租税条約,税金(No.82)について国と国とのあいだで決めた約束。日本と約束をしている国の人は、税金が少なくなることがあります。,No.85,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,第１号被保険者,第１号被保険者,国民年金(No.39)だけに入っている人。会社に入らないで自分の店を持っている人、農業＜＝野菜などを作る仕事＞や漁業＜＝魚などをとる仕事＞をしている人、働いていない人などです。,No.86,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,第３号被保険者,第３号被保険者,自分の夫や妻が厚生年金保険に入っている人、自分の夫や妻が65歳になる前の人、自分の１年の給料などが130万円より少ない人。国民年金(No.39)だけに入っています。,No.87,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,退職届,退職届,会社をやめるとき、理由などを書いて、会社に出す紙。,No.88,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,第２号被保険者,第２号被保険者,国民年金(No.39)と厚生年金保険(No.35)に入っている人。会社や工場、店などで働いている人です。,No.89,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,脱退一時金,脱退一時金,日本の年金(No.106)をやめて自分の国に帰る人がもらうことができるお金。,No.90,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,短時間労働者,短時間労働者,働く時間が正社員より短いパートタイマーやアルバイトなど。,No.91,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,仲介手数料,仲介手数料,家を借りるとき、あなたに家を紹介した不動産屋(No.115)に払うお金。,No.92,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,中学校卒業程度認定試験,中学校卒業程度認定試験,日本の中学校を卒業していない人が受ける試験。合格すると日本の高校に入るための試験を受けることができます。,No.93,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,賃貸契約,賃貸契約,家を貸す人と借りる人の約束。,No.94,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,転居届,転居届,同じまちの中で、引っ越しをするときに役所に出す紙。,No.95,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,転出届,転出届,別のまちへ引っ越しをするときに、今まで住んでいた住所の役所に出す紙。引っ越しをして日本を出るときにも出します。,No.96,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,転入届,転入届,別のまちから引っ越しをしたときに、新しい住所の役所に出す紙。引っ越しをして日本に住み始めたときにも出します。,No.97,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,特別児童扶養手当,特別児童扶養手当,障害がある子どもを育てている人がもらうことができるお金。,No.98,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,特別徴収,特別徴収,会社が、住んでいるまちの役所で働いている人の住民税(No.72)を払うこと。会社があなたの給料から税金(No.82)を引いて払います。,No.99,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,登山届,登山届,山に登る前に名前、住所、電話番号、登山ルートなどを書いて、役所などに届けておくもの。山で事故にあった人を助けるために役に立ちます。,No.100,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,内科,内科,体の中の病気（かぜなど）を治す病院。,No.101,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,日本留学試験（EJU）,日本留学試験,外国から日本の大学に留学したい学生が受ける試験。,No.102,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,乳幼児健診（乳幼児健康診査）,乳幼児健診,住んでいるまちの役所が、赤ちゃんが健康かどうかを調べること。,No.103,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,認定こども園,認定こども園,小学校に入る前の子どもが通うところ。ここには、幼稚園(No.126)と保育園(No.116)の両方の特徴があります。,No.104,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,妊婦健診（妊婦健康診査）,妊婦健診,お腹に赤ちゃんがいる人が健康かどうかを調べること。,No.105,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,年金,年金,みんなからお金を集めて、年齢の高い人や、病気やけがで体などに障害が出た人を助ける制度。,No.106,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,年金手帳,年金手帳,年金(No.106)に入った人がもらう手帳。,No.107,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,年次有給休暇,年次有給休暇,仕事を休んでも給料をもらうことができる休み。,No.108,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,年末調整,年末調整,12月に会社が源泉徴収(No.29)した所得税(No.79)を計算して、調整するしくみ。多いときは会社があなたにお金を返します。少ないときはあなたが会社にお金を払います。,No.109,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,派遣社員,派遣社員,派遣会社と契約＜＝派遣会社との約束＞して、別の会社で働く人。,No.110,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,ハザードマップ,ハザードマップ,災害が起きたときに、危ない場所や逃げる場所が書いてある地図。,No.111,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,母親教室・父親教室,母親教室・父親教室,新しくお母さん・お父さんになる人に、赤ちゃんを産んで育てるときに大切なことを、教えるところ。,No.112,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,ハローワーク,ハローワーク,仕事を紹介する国の役所。,No.113,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,ファミリー・サポート・センター,ファミリー・サポート・センター,用事があるときに、子どもの世話をする人を紹介するところ。,No.114,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,不動産屋,不動産屋,家を借りたい人や家を買いたい人にいろいろな家を紹介する店。,No.115,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,保育園,保育園,親（お父さん・お母さん）が働いているとき、0歳から小学校に入る前の子どもの世話をするところ。子どもが身の回りの世話を受けたり、遊びながらいろいろなことを身につけていきます。,No.116,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,放課後児童クラブ（学童保育）,放課後児童クラブ,親（お父さん・お母さん）が働いているとき、小学生の子どもの世話をしてもらうことができるところ。,No.117,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,防災訓練・避難訓練,防災訓練・避難訓練,災害が起きたときのために、安全に逃げる練習や、火を消す練習をすること。,No.118,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,防犯,防犯,犯罪の被害にあわないようにすること。,No.119,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,母子健康手帳,母子健康手帳,お腹に赤ちゃんがいる人が、住んでいるまちの役所からもらう手帳。赤ちゃんやお母さんの健康などについて書くものです。,No.120,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,民間住宅,民間住宅,大家（No.9）から借りる家。,No.121,False,False
