original,yasashii
日本留学試験,日本の大学で勉強したい外国人が受ける試験。
学童保育（児童育成クラブ）,小学生が授業の終わったあと、仕事をしている親（お父さん、お母さんなど）が迎えに来るまで居ることができる場所。
夜間中学(1),中学校を卒業していない人や、十分に通うことができなかった人が行く学校。
遺族年金,年金に入っていた人・年金をもらっていた人が死んだとき、家族が年金からもらうことができるお金。（手続きが必要です。）（→年金）
介護保険(1),４０歳以上の人からお金を集めて、介護が必要になった人を助ける制度。（→介護）
確定申告(2),所得税を払うために、1年間の給料や、税金などを自分で計算して、住んでいるまちの税務署に出すこと。（手続きが必要です。）（→所得税、税金、税務署）
課税証明書,前の年にもらった給料などの金額と、税金の額を証明する紙。（手続きが必要です。）（→税金）
寡婦年金(1),第１号被保険者の夫が死んだときに、妻が年金からもらうことができるお金。（手続きが必要です。）（→第１号被保険者、年金）
給与所得の源泉徴収票(1),１年間の給料や、国に払った税金などが書いている紙。（→税金）
給与明細(1),毎月の給料や、国に払っている税金などが書いている紙。毎月、会社からもらいます。（→税金）
健康保険(1),日本に住んでいる皆が入る保険。保険料を払うことで自分が病院に行ったときに払うお金が少なくなります。
源泉徴収(2),会社があなたの給料から税金を引いて、国に払います。（→税金）
高額療養費(1),１か月に病院に払ったお金が多くなった時に後から戻ってくるお金。（手続が必要です。）
後期高齢者医療制度(2),７５歳以上の人が入る健康保険。（→健康保険）
厚生年金保険(1),会社や工場、店などで決まった時間以上働いていて、６９歳までの人が入る年金。（→年金）
国民健康保険(1),社会保険に入っていない人が、入る健康保険。（→社会保険、健康保険）
保険証(2),病院で出す健康保険のカード。（→健康保険）
国民健康保険税,国民健康保険に入っている人が払う税金。（→税金）
国民年金(2),２０歳から６０歳の人が、みんな入る国の年金。（→年金）
固定資産税(2),１月１日時点で土地や家などを持っている人が払う税金。（→税金）
雇用保険(1),仕事がなくなった人や、会社をやめた後仕事が見つからない人がお金をもらえる制度。（手続きが必要です。）
自動車税/軽自動車税種別割,毎年4月1日に車を持っている人が払う税金。（→税金）
自賠責保険(2),車やオートバイを買ったとき、必ず入らないといけない保険。
死亡一時金(1),年金に入っていた人が年金をもらわずに死んだとき、家族が国民年金からもらうお金。（手続きが必要です。）（→年金、国民年金）
社会保険,会社で働いている人が入る健康保険。（→健康保険）
住民税,１月１日に日本に住所があって、働いている人などが払う税金。（→税金）
障害基礎年金(1),体などに障害がある人が、条件が合う場合に国民年金からもらうことができるお金。（→国民年金）
障害厚生年金(1),体などに障害がある人が、条件が合う場合に厚生年金保険からもらうことができるお金。（→厚生年金保険）
消費税(2),物を買ったときやサービスを受けたときに払う税金。（→税金）
所得証明書,前の年に、給料などで、受け取った金額を証明する紙。（手続きが必要です。）
所得税(1),働いてもらった給料など、自分に入ったお金がある人が国に払う税金。（→税金）
税金(2),国や県、市、区などに払うお金。
税務署(2),税金の仕事をする所。（→税金）
